29.70, 16.80, 27.00, 0.00, 1010.50, 0.00
28.60, 13.30, 24.50, 0.00, 1015.40, 0.00
32.00, 14.90, 16.50, 0.00, 1014.00, 0.00
36.30, 16.30, 20.00, 0.00, 1011.35, 0.50
38.40, 20.00, 16.50, 0.00, 1011.00, 0.00
40.20, 20.20, 18.00, 0.00, 1008.70, 1.00
33.30, 19.70, 25.00, 0.00, 1010.75, 0.00
31.40, 15.20, 29.50, 0.00, 1015.00, 0.50
33.30, 15.80, 18.50, 0.00, 1012.90, 0.50
33.90, 17.50, 12.00, 0.00, 1008.55, 0.50
33.30, 18.10, 15.50, 0.00, 1009.05, 0.50
38.40, 17.40, 19.50, 0.00, 1011.85, 0.00
42.20, 22.00, 19.50, 0.00, 1009.25, 0.00
40.70, 23.60, 22.50, 0.00, 1009.60, 0.00
31.50, 19.00, 33.00, 0.00, 1015.80, 2.00
32.70, 15.70, 26.00, 0.00, 1018.85, 0.00
33.50, 16.60, 24.00, 0.00, 1017.80, 0.50
35.60, 18.50, 13.50, 0.00, 1014.65, 0.50
39.60, 20.50, 8.00, 0.00, 1010.10, 1.00
40.20, 23.40, 19.50, 0.00, 1008.35, 1.00
37.10, 21.10, 17.00, 0.00, 1008.55, 1.00
38.80, 21.70, 15.00, 0.00, 1004.85, 1.00
37.40, 19.00, 12.00, 0.00, 1006.90, 0.50
33.00, 19.40, 14.00, 0.00, 1012.40, 3.50
37.90, 18.40, 12.50, 0.00, 1014.25, 1.00
39.90, 21.00, 26.00, 0.00, 1014.20, 1.00
43.80, 24.10, 12.50, 0.00, 1009.85, 4.00
44.60, 28.90, 23.00, 0.00, 1006.70, 1.00
42.30, 28.50, 18.50, 0.00, 1008.20, 0.50
42.40, 28.70, 15.00, 0.00, 1008.10, 0.50
41.90, 26.50, 20.50, 0.00, 1010.05, 2.00
41.70, 26.70, 14.00, 0.00, 1010.20, 1.00
43.50, 26.80, 7.50, 0.00, 1007.95, 1.50
43.70, 26.70, 15.50, 0.00, 1006.60, 1.00
42.50, 26.30, 19.50, 0.00, 1005.60, 0.00
42.80, 25.20, 20.00, 0.00, 1006.00, 0.00
45.60, 27.30, 21.50, 0.00, 1004.00, 0.50
46.20, 31.40, 26.00, 0.00, 1003.70, 1.00
35.30, 21.70, 34.00, 0.00, 1009.65, 1.00
28.70, 17.10, 35.00, 0.00, 1013.75, 3.00
25.60, 14.30, 35.50, 0.00, 1017.40, 1.00
26.30, 13.60, 27.00, 0.00, 1019.15, 0.00
27.80, 13.90, 24.50, 0.00, 1017.90, 0.50
29.70, 14.10, 23.00, 0.00, 1016.95, 0.50
32.00, 18.20, 21.50, 0.00, 1016.30, 0.50
32.50, 20.30, 22.50, 0.00, 1014.65, 2.50
33.90, 17.90, 20.00, 0.00, 1011.75, 0.00
34.10, 20.30, 17.50, 0.00, 1009.90, 1.00
35.30, 21.20, 11.50, 0.00, 1008.35, 3.00
31.10, 24.90, 23.00, 0.00, 1010.10, 7.00
30.60, 18.90, 23.50, 0.00, 1015.10, 0.50
31.40, 16.20, 18.50, 0.00, 1015.75, 0.00
34.70, 16.90, 12.50, 0.00, 1012.90, 0.00
36.90, 18.10, 11.50, 0.00, 1011.70, 1.00
35.20, 17.20, 14.50, 0.00, 1014.25, 4.00
37.80, 19.70, 15.50, 0.00, 1013.25, 2.50
40.90, 22.90, 17.50, 0.00, 1011.30, 0.00
41.50, 18.60, 15.00, 0.00, 1010.35, 2.50
36.00, 21.00, 19.50, 0.00, 1011.15, 3.50
34.00, 19.60, 17.00, 0.00, 1011.75, 3.50
40.30, 21.60, 25.50, 0.00, 1007.10, 6.50
26.60, 23.90, 34.00, 0.00, 1009.75, 6.50
25.90, 11.20, 24.00, 2.20, 1023.30, 1.00
25.90, 13.70, 21.00, 0.00, 1022.35, 1.50
27.50, 14.80, 17.50, 0.00, 1017.10, 1.50
29.70, 16.00, 13.50, 0.00, 1013.75, 4.00
28.50, 18.60, 25.00, 0.00, 1013.50, 5.50
28.00, 18.10, 31.50, 0.40, 1014.45, 7.50
32.10, 16.60, 20.50, 4.20, 1013.75, 3.00
31.70, 18.20, 11.00, 0.20, 1013.10, 6.00
32.30, 20.20, 8.00, 0.20, 1013.00, 5.00
34.00, 18.30, 9.50, 0.00, 1014.05, 0.50
28.30, 21.00, 31.00, 0.00, 1014.95, 0.00
25.00, 13.10, 22.00, 0.00, 1018.95, 0.00
25.70, 14.50, 18.50, 0.00, 1018.85, 2.50
27.10, 12.80, 14.50, 0.00, 1017.35, 0.00
32.10, 13.40, 19.50, 0.00, 1013.60, 2.00
34.60, 18.80, 16.00, 0.00, 1013.45, 3.00
36.30, 17.10, 18.50, 0.00, 1012.15, 4.00
37.90, 19.60, 18.00, 0.00, 1009.55, 6.00
28.60, 16.80, 22.00, 0.00, 1014.35, 1.00
30.70, 13.40, 17.50, 0.00, 1013.65, 1.00
26.80, 16.60, 18.00, 0.00, 1013.35, 7.00
33.20, 18.30, 12.00, 0.80, 1015.15, 1.00
29.00, 18.40, 28.00, 0.00, 1020.85, 0.50
30.00, 15.20, 18.50, 0.00, 1023.25, 0.00
32.10, 14.40, 8.50, 0.00, 1019.90, 0.00
34.00, 17.20, 10.00, 0.00, 1017.80, 1.00
34.30, 16.70, 12.00, 0.00, 1017.50, 1.50
34.40, 18.60, 13.00, 0.00, 1016.00, 4.00
